The path of the results is all_sites\CNN_HPO_IBRH10
Basic_3inp model is applied
Learning rate is 0.000010
Apply pretrain model!
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       (688)
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       (3,616)
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       (14,400)
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       (1,442,816)
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      (524,800)
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      (455,031)
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      (664)
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      (5,264)
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      (10,512)
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      (1,639,424)
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      (524,800)
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      (455,031)
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 4,864,626
Non-trainable params: 5,077,046
=================================================================
Epoch [1/500]	 Average training and validation loss: 1.1273E-03 9.2903E-04	Time: 3.00s
Epoch [2/500]	 Average training and validation loss: 9.0259E-04 7.8289E-04	Time: 0.13s
Epoch [3/500]	 Average training and validation loss: 7.9856E-04 7.1038E-04	Time: 0.13s
Epoch [4/500]	 Average training and validation loss: 7.4490E-04 6.7299E-04	Time: 0.12s
Epoch [5/500]	 Average training and validation loss: 7.1423E-04 6.5136E-04	Time: 0.12s
Epoch [6/500]	 Average training and validation loss: 6.9401E-04 6.3653E-04	Time: 0.13s
Epoch [7/500]	 Average training and validation loss: 6.7892E-04 6.2557E-04	Time: 0.13s
Epoch [8/500]	 Average training and validation loss: 6.6689E-04 6.1703E-04	Time: 0.13s
Epoch [9/500]	 Average training and validation loss: 6.5689E-04 6.1023E-04	Time: 0.13s
Epoch [10/500]	 Average training and validation loss: 6.4834E-04 6.0471E-04	Time: 0.12s
Epoch [11/500]	 Average training and validation loss: 6.4090E-04 6.0017E-04	Time: 0.12s
Epoch [12/500]	 Average training and validation loss: 6.3434E-04 5.9639E-04	Time: 0.12s
Epoch [13/500]	 Average training and validation loss: 6.2849E-04 5.9321E-04	Time: 0.12s
Epoch [14/500]	 Average training and validation loss: 6.2323E-04 5.9047E-04	Time: 0.12s
Epoch [15/500]	 Average training and validation loss: 6.1843E-04 5.8812E-04	Time: 0.13s
Epoch [16/500]	 Average training and validation loss: 6.1404E-04 5.8607E-04	Time: 0.13s
Epoch [17/500]	 Average training and validation loss: 6.0998E-04 5.8428E-04	Time: 0.12s
Epoch [18/500]	 Average training and validation loss: 6.0619E-04 5.8269E-04	Time: 0.13s
Epoch [19/500]	 Average training and validation loss: 6.0265E-04 5.8127E-04	Time: 0.13s
Epoch [20/500]	 Average training and validation loss: 5.9930E-04 5.8000E-04	Time: 0.12s
Epoch [21/500]	 Average training and validation loss: 5.9613E-04 5.7885E-04	Time: 0.12s
Epoch [22/500]	 Average training and validation loss: 5.9311E-04 5.7783E-04	Time: 0.13s
Epoch [23/500]	 Average training and validation loss: 5.9020E-04 5.7689E-04	Time: 0.12s
Epoch [24/500]	 Average training and validation loss: 5.8740E-04 5.7600E-04	Time: 0.12s
Epoch [25/500]	 Average training and validation loss: 5.8470E-04 5.7514E-04	Time: 0.13s
Epoch [26/500]	 Average training and validation loss: 5.8212E-04 5.7431E-04	Time: 0.13s
Epoch [27/500]	 Average training and validation loss: 5.7964E-04 5.7354E-04	Time: 0.13s
Epoch [28/500]	 Average training and validation loss: 5.7725E-04 5.7282E-04	Time: 0.13s
Epoch [29/500]	 Average training and validation loss: 5.7494E-04 5.7215E-04	Time: 0.13s
Epoch [30/500]	 Average training and validation loss: 5.7268E-04 5.7152E-04	Time: 0.13s
Epoch [31/500]	 Average training and validation loss: 5.7048E-04 5.7092E-04	Time: 0.12s
Epoch [32/500]	 Average training and validation loss: 5.6833E-04 5.7035E-04	Time: 0.12s
