The path of the results is all_sites\CNN_HPO_IBRH14
Basic_3inp model is applied
Learning rate is 0.000010
Apply pretrain model!
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN_allsites                             --
©À©¤Sequential: 1-1                        --
©¦    ©¸©¤Conv1d: 2-1                       (688)
©¦    ©¸©¤ReLU: 2-2                         --
©¦    ©¸©¤Conv1d: 2-3                       (3,616)
©¦    ©¸©¤ReLU: 2-4                         --
©¦    ©¸©¤Conv1d: 2-5                       (14,400)
©¦    ©¸©¤ReLU: 2-6                         --
©¦    ©¸©¤Flatten: 2-7                      --
©¦    ©¸©¤Linear: 2-8                       (1,442,816)
©¦    ©¸©¤ReLU: 2-9                         --
©¦    ©¸©¤Linear: 2-10                      (524,800)
©¦    ©¸©¤ReLU: 2-11                        --
©¦    ©¸©¤Linear: 2-12                      (455,031)
©¦    ©¸©¤ReLU: 2-13                        --
©À©¤Sequential: 1-2                        --
©¦    ©¸©¤Conv1d: 2-14                      (664)
©¦    ©¸©¤ReLU: 2-15                        --
©¦    ©¸©¤Conv1d: 2-16                      (5,264)
©¦    ©¸©¤ReLU: 2-17                        --
©¦    ©¸©¤Conv1d: 2-18                      (10,512)
©¦    ©¸©¤ReLU: 2-19                        --
©¦    ©¸©¤Flatten: 2-20                     --
©¦    ©¸©¤Linear: 2-21                      (1,639,424)
©¦    ©¸©¤ReLU: 2-22                        --
©¦    ©¸©¤Linear: 2-23                      (524,800)
©¦    ©¸©¤ReLU: 2-24                        --
©¦    ©¸©¤Linear: 2-25                      (455,031)
©¦    ©¸©¤ReLU: 2-26                        --
©À©¤ModuleList: 1-3                        --
©¦    ©¸©¤Sequential: 2-27                  --
©¦    ©¦    ©¸©¤Linear: 3-1                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-2                    --
©¦    ©¦    ©¸©¤Linear: 3-3                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-4                    --
©¦    ©¦    ©¸©¤Linear: 3-5                  787,656
©¦    ©¦    ©¸©¤ReLU: 3-6                    --
©À©¤ModuleList: 1-4                        --
©¦    ©¸©¤Sequential: 2-28                  --
©¦    ©¦    ©¸©¤Linear: 3-7                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-8                 --
©¦    ©¦    ©¸©¤Linear: 3-9                  787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-10                --
©¦    ©¦    ©¸©¤Linear: 3-11                 787,656
©¦    ©¦    ©¸©¤Sigmoid: 3-12                --
©À©¤Sequential: 1-5                        --
©¦    ©¸©¤Linear: 2-29                      113,664
©¦    ©¸©¤Linear: 2-30                      16,512
©¦    ©¸©¤Linear: 2-31                      8,514
=================================================================
Total params: 9,941,672
Trainable params: 4,864,626
Non-trainable params: 5,077,046
=================================================================
Epoch [1/500]	 Average training and validation loss: 1.1589E-03 9.6489E-04	Time: 3.27s
Epoch [2/500]	 Average training and validation loss: 9.0924E-04 7.6796E-04	Time: 0.12s
Epoch [3/500]	 Average training and validation loss: 7.4538E-04 6.4541E-04	Time: 0.11s
Epoch [4/500]	 Average training and validation loss: 6.4453E-04 5.7430E-04	Time: 0.11s
Epoch [5/500]	 Average training and validation loss: 5.8574E-04 5.3506E-04	Time: 0.11s
Epoch [6/500]	 Average training and validation loss: 5.5223E-04 5.1371E-04	Time: 0.12s
Epoch [7/500]	 Average training and validation loss: 5.3256E-04 5.0173E-04	Time: 0.11s
Epoch [8/500]	 Average training and validation loss: 5.2008E-04 4.9447E-04	Time: 0.12s
Epoch [9/500]	 Average training and validation loss: 5.1129E-04 4.8953E-04	Time: 0.11s
Epoch [10/500]	 Average training and validation loss: 5.0446E-04 4.8578E-04	Time: 0.11s
Epoch [11/500]	 Average training and validation loss: 4.9876E-04 4.8267E-04	Time: 0.11s
Epoch [12/500]	 Average training and validation loss: 4.9377E-04 4.7992E-04	Time: 0.11s
Epoch [13/500]	 Average training and validation loss: 4.8927E-04 4.7740E-04	Time: 0.11s
Epoch [14/500]	 Average training and validation loss: 4.8512E-04 4.7504E-04	Time: 0.11s
Epoch [15/500]	 Average training and validation loss: 4.8124E-04 4.7280E-04	Time: 0.11s
Epoch [16/500]	 Average training and validation loss: 4.7758E-04 4.7071E-04	Time: 0.12s
Epoch [17/500]	 Average training and validation loss: 4.7413E-04 4.6880E-04	Time: 0.11s
Epoch [18/500]	 Average training and validation loss: 4.7088E-04 4.6706E-04	Time: 0.11s
Epoch [19/500]	 Average training and validation loss: 4.6782E-04 4.6550E-04	Time: 0.11s
Epoch [20/500]	 Average training and validation loss: 4.6494E-04 4.6409E-04	Time: 0.11s
Epoch [21/500]	 Average training and validation loss: 4.6222E-04 4.6283E-04	Time: 0.11s
Epoch [22/500]	 Average training and validation loss: 4.5964E-04 4.6167E-04	Time: 0.11s
Epoch [23/500]	 Average training and validation loss: 4.5720E-04 4.6059E-04	Time: 0.11s
Epoch [24/500]	 Average training and validation loss: 4.5486E-04 4.5959E-04	Time: 0.11s
Epoch [25/500]	 Average training and validation loss: 4.5264E-04 4.5867E-04	Time: 0.11s
Epoch [26/500]	 Average training and validation loss: 4.5051E-04 4.5780E-04	Time: 0.11s
Epoch [27/500]	 Average training and validation loss: 4.4849E-04 4.5701E-04	Time: 0.11s
Epoch [28/500]	 Average training and validation loss: 4.4654E-04 4.5627E-04	Time: 0.11s
Epoch [29/500]	 Average training and validation loss: 4.4468E-04 4.5558E-04	Time: 0.11s
Epoch [30/500]	 Average training and validation loss: 4.4288E-04 4.5494E-04	Time: 0.11s
Epoch [31/500]	 Average training and validation loss: 4.4113E-04 4.5435E-04	Time: 0.11s
Epoch [32/500]	 Average training and validation loss: 4.3945E-04 4.5379E-04	Time: 0.11s
Epoch [33/500]	 Average training and validation loss: 4.3781E-04 4.5328E-04	Time: 0.11s
Epoch [34/500]	 Average training and validation loss: 4.3622E-04 4.5278E-04	Time: 0.11s
Epoch [35/500]	 Average training and validation loss: 4.3468E-04 4.5232E-04	Time: 0.11s
Epoch [36/500]	 Average training and validation loss: 4.3318E-04 4.5189E-04	Time: 0.11s
Epoch [37/500]	 Average training and validation loss: 4.3172E-04 4.5149E-04	Time: 0.11s
Epoch [38/500]	 Average training and validation loss: 4.3029E-04 4.5111E-04	Time: 0.11s
Epoch [39/500]	 Average training and validation loss: 4.2891E-04 4.5076E-04	Time: 0.11s
Epoch [40/500]	 Average training and validation loss: 4.2756E-04 4.5042E-04	Time: 0.11s
Epoch [41/500]	 Average training and validation loss: 4.2624E-04 4.5011E-04	Time: 0.11s
Epoch [42/500]	 Average training and validation loss: 4.2495E-04 4.4981E-04	Time: 0.11s
Epoch [43/500]	 Average training and validation loss: 4.2368E-04 4.4953E-04	Time: 0.11s
Epoch [44/500]	 Average training and validation loss: 4.2244E-04 4.4925E-04	Time: 0.11s
Epoch [45/500]	 Average training and validation loss: 4.2122E-04 4.4902E-04	Time: 0.11s
Epoch [46/500]	 Average training and validation loss: 4.2003E-04 4.4878E-04	Time: 0.11s
Epoch [47/500]	 Average training and validation loss: 4.1887E-04 4.4856E-04	Time: 0.11s
Epoch [48/500]	 Average training and validation loss: 4.1772E-04 4.4838E-04	Time: 0.11s
Epoch [49/500]	 Average training and validation loss: 4.1660E-04 4.4820E-04	Time: 0.11s
Epoch [50/500]	 Average training and validation loss: 4.1550E-04 4.4802E-04	Time: 0.11s
Epoch [51/500]	 Average training and validation loss: 4.1442E-04 4.4784E-04	Time: 0.11s
Epoch [52/500]	 Average training and validation loss: 4.1335E-04 4.4768E-04	Time: 0.11s
Epoch [53/500]	 Average training and validation loss: 4.1230E-04 4.4752E-04	Time: 0.11s
Epoch [54/500]	 Average training and validation loss: 4.1127E-04 4.4737E-04	Time: 0.11s
Epoch [55/500]	 Average training and validation loss: 4.1025E-04 4.4723E-04	Time: 0.11s
Epoch [56/500]	 Average training and validation loss: 4.0925E-04 4.4711E-04	Time: 0.11s
Epoch [57/500]	 Average training and validation loss: 4.0826E-04 4.4697E-04	Time: 0.11s
Epoch [58/500]	 Average training and validation loss: 4.0729E-04 4.4687E-04	Time: 0.11s
Epoch [59/500]	 Average training and validation loss: 4.0634E-04 4.4677E-04	Time: 0.11s
Epoch [60/500]	 Average training and validation loss: 4.0540E-04 4.4665E-04	Time: 0.11s
Epoch [61/500]	 Average training and validation loss: 4.0447E-04 4.4655E-04	Time: 0.11s
Epoch [62/500]	 Average training and validation loss: 4.0356E-04 4.4646E-04	Time: 0.11s
Epoch [63/500]	 Average training and validation loss: 4.0267E-04 4.4638E-04	Time: 0.11s
Epoch [64/500]	 Average training and validation loss: 4.0178E-04 4.4629E-04	Time: 0.11s
Epoch [65/500]	 Average training and validation loss: 4.0090E-04 4.4621E-04	Time: 0.11s
Epoch [66/500]	 Average training and validation loss: 4.0002E-04 4.4613E-04	Time: 0.11s
Epoch [67/500]	 Average training and validation loss: 3.9916E-04 4.4607E-04	Time: 0.11s
Epoch [68/500]	 Average training and validation loss: 3.9831E-04 4.4601E-04	Time: 0.11s
Epoch [69/500]	 Average training and validation loss: 3.9746E-04 4.4595E-04	Time: 0.11s
Epoch [70/500]	 Average training and validation loss: 3.9663E-04 4.4589E-04	Time: 0.11s
Epoch [71/500]	 Average training and validation loss: 3.9580E-04 4.4584E-04	Time: 0.11s
Epoch [72/500]	 Average training and validation loss: 3.9498E-04 4.4579E-04	Time: 0.11s
Epoch [73/500]	 Average training and validation loss: 3.9417E-04 4.4574E-04	Time: 0.11s
Epoch [74/500]	 Average training and validation loss: 3.9337E-04 4.4569E-04	Time: 0.11s
Epoch [75/500]	 Average training and validation loss: 3.9257E-04 4.4563E-04	Time: 0.11s
Epoch [76/500]	 Average training and validation loss: 3.9178E-04 4.4559E-04	Time: 0.11s
Epoch [77/500]	 Average training and validation loss: 3.9100E-04 4.4555E-04	Time: 0.11s
Epoch [78/500]	 Average training and validation loss: 3.9023E-04 4.4550E-04	Time: 0.11s
Epoch [79/500]	 Average training and validation loss: 3.8947E-04 4.4545E-04	Time: 0.11s
Epoch [80/500]	 Average training and validation loss: 3.8872E-04 4.4543E-04	Time: 0.11s
Epoch [81/500]	 Average training and validation loss: 3.8797E-04 4.4539E-04	Time: 0.11s
Epoch [82/500]	 Average training and validation loss: 3.8723E-04 4.4535E-04	Time: 0.11s
Epoch [83/500]	 Average training and validation loss: 3.8649E-04 4.4529E-04	Time: 0.11s
Epoch [84/500]	 Average training and validation loss: 3.8576E-04 4.4525E-04	Time: 0.11s
Epoch [85/500]	 Average training and validation loss: 3.8503E-04 4.4519E-04	Time: 0.11s
Epoch [86/500]	 Average training and validation loss: 3.8431E-04 4.4514E-04	Time: 0.11s
Epoch [87/500]	 Average training and validation loss: 3.8360E-04 4.4510E-04	Time: 0.11s
Epoch [88/500]	 Average training and validation loss: 3.8289E-04 4.4506E-04	Time: 0.12s
Epoch [89/500]	 Average training and validation loss: 3.8219E-04 4.4501E-04	Time: 0.12s
Epoch [90/500]	 Average training and validation loss: 3.8150E-04 4.4498E-04	Time: 0.11s
Epoch [91/500]	 Average training and validation loss: 3.8081E-04 4.4494E-04	Time: 0.11s
Epoch [92/500]	 Average training and validation loss: 3.8013E-04 4.4489E-04	Time: 0.11s
Epoch [93/500]	 Average training and validation loss: 3.7945E-04 4.4485E-04	Time: 0.12s
Epoch [94/500]	 Average training and validation loss: 3.7878E-04 4.4483E-04	Time: 0.11s
Epoch [95/500]	 Average training and validation loss: 3.7811E-04 4.4480E-04	Time: 0.12s
Epoch [96/500]	 Average training and validation loss: 3.7745E-04 4.4477E-04	Time: 0.12s
Epoch [97/500]	 Average training and validation loss: 3.7680E-04 4.4477E-04	Time: 0.11s
Epoch [98/500]	 Average training and validation loss: 3.7615E-04 4.4472E-04	Time: 0.11s
Epoch [99/500]	 Average training and validation loss: 3.7551E-04 4.4469E-04	Time: 0.11s
Epoch [100/500]	 Average training and validation loss: 3.7487E-04 4.4470E-04	Time: 0.11s
Epoch [101/500]	 Average training and validation loss: 3.7423E-04 4.4470E-04	Time: 0.11s
Epoch [102/500]	 Average training and validation loss: 3.7360E-04 4.4468E-04	Time: 0.12s
Epoch [103/500]	 Average training and validation loss: 3.7298E-04 4.4468E-04	Time: 0.10s
Epoch [104/500]	 Average training and validation loss: 3.7236E-04 4.4468E-04	Time: 0.11s
Epoch [105/500]	 Average training and validation loss: 3.7174E-04 4.4468E-04	Time: 0.11s
Epoch [106/500]	 Average training and validation loss: 3.7112E-04 4.4468E-04	Time: 0.10s
Epoch [107/500]	 Average training and validation loss: 3.7051E-04 4.4467E-04	Time: 0.11s
Epoch [108/500]	 Average training and validation loss: 3.6990E-04 4.4467E-04	Time: 0.11s
Epoch [109/500]	 Average training and validation loss: 3.6929E-04 4.4466E-04	Time: 0.11s
Epoch [110/500]	 Average training and validation loss: 3.6870E-04 4.4466E-04	Time: 0.11s
Epoch [111/500]	 Average training and validation loss: 3.6810E-04 4.4467E-04	Time: 0.11s
Epoch [112/500]	 Average training and validation loss: 3.6751E-04 4.4463E-04	Time: 0.11s
Epoch [113/500]	 Average training and validation loss: 3.6692E-04 4.4463E-04	Time: 0.11s
Epoch [114/500]	 Average training and validation loss: 3.6633E-04 4.4464E-04	Time: 0.11s
Epoch [115/500]	 Average training and validation loss: 3.6575E-04 4.4461E-04	Time: 0.11s
Epoch [116/500]	 Average training and validation loss: 3.6518E-04 4.4460E-04	Time: 0.11s
Epoch [117/500]	 Average training and validation loss: 3.6460E-04 4.4458E-04	Time: 0.11s
Epoch [118/500]	 Average training and validation loss: 3.6403E-04 4.4456E-04	Time: 0.11s
Epoch [119/500]	 Average training and validation loss: 3.6346E-04 4.4455E-04	Time: 0.11s
Epoch [120/500]	 Average training and validation loss: 3.6290E-04 4.4456E-04	Time: 0.11s
Epoch [121/500]	 Average training and validation loss: 3.6233E-04 4.4454E-04	Time: 0.11s
Epoch [122/500]	 Average training and validation loss: 3.6178E-04 4.4453E-04	Time: 0.11s
Epoch [123/500]	 Average training and validation loss: 3.6123E-04 4.4454E-04	Time: 0.11s
Epoch [124/500]	 Average training and validation loss: 3.6068E-04 4.4451E-04	Time: 0.11s
Epoch [125/500]	 Average training and validation loss: 3.6014E-04 4.4451E-04	Time: 0.11s
Epoch [126/500]	 Average training and validation loss: 3.5959E-04 4.4451E-04	Time: 0.10s
Epoch [127/500]	 Average training and validation loss: 3.5906E-04 4.4450E-04	Time: 0.11s
Epoch [128/500]	 Average training and validation loss: 3.5852E-04 4.4451E-04	Time: 0.11s
Epoch [129/500]	 Average training and validation loss: 3.5799E-04 4.4451E-04	Time: 0.10s
Epoch [130/500]	 Average training and validation loss: 3.5745E-04 4.4449E-04	Time: 0.11s
Epoch [131/500]	 Average training and validation loss: 3.5692E-04 4.4449E-04	Time: 0.11s
Epoch [132/500]	 Average training and validation loss: 3.5639E-04 4.4449E-04	Time: 0.11s
Epoch [133/500]	 Average training and validation loss: 3.5586E-04 4.4449E-04	Time: 0.11s
Epoch [134/500]	 Average training and validation loss: 3.5533E-04 4.4450E-04	Time: 0.11s
Epoch [135/500]	 Average training and validation loss: 3.5481E-04 4.4449E-04	Time: 0.11s
Epoch [136/500]	 Average training and validation loss: 3.5429E-04 4.4447E-04	Time: 0.11s
Epoch [137/500]	 Average training and validation loss: 3.5378E-04 4.4448E-04	Time: 0.11s
Epoch [138/500]	 Average training and validation loss: 3.5326E-04 4.4449E-04	Time: 0.10s
Epoch [139/500]	 Average training and validation loss: 3.5275E-04 4.4448E-04	Time: 0.11s
Epoch [140/500]	 Average training and validation loss: 3.5224E-04 4.4448E-04	Time: 0.10s
Epoch [141/500]	 Average training and validation loss: 3.5174E-04 4.4448E-04	Time: 0.11s
Epoch [142/500]	 Average training and validation loss: 3.5123E-04 4.4449E-04	Time: 0.10s
Epoch [143/500]	 Average training and validation loss: 3.5074E-04 4.4450E-04	Time: 0.11s
Epoch [144/500]	 Average training and validation loss: 3.5024E-04 4.4451E-04	Time: 0.11s
Epoch [145/500]	 Average training and validation loss: 3.4974E-04 4.4450E-04	Time: 0.10s
Epoch [146/500]	 Average training and validation loss: 3.4925E-04 4.4450E-04	Time: 0.10s
Epoch [147/500]	 Average training and validation loss: 3.4876E-04 4.4451E-04	Time: 0.10s
Epoch [148/500]	 Average training and validation loss: 3.4827E-04 4.4451E-04	Time: 0.10s
Epoch [149/500]	 Average training and validation loss: 3.4778E-04 4.4452E-04	Time: 0.10s
Epoch [150/500]	 Average training and validation loss: 3.4730E-04 4.4449E-04	Time: 0.10s
Epoch [151/500]	 Average training and validation loss: 3.4682E-04 4.4448E-04	Time: 0.11s
Epoch [152/500]	 Average training and validation loss: 3.4634E-04 4.4449E-04	Time: 0.11s
Epoch [153/500]	 Average training and validation loss: 3.4586E-04 4.4449E-04	Time: 0.10s
Epoch [154/500]	 Average training and validation loss: 3.4538E-04 4.4448E-04	Time: 0.11s
Epoch [155/500]	 Average training and validation loss: 3.4490E-04 4.4449E-04	Time: 0.10s
Epoch [156/500]	 Average training and validation loss: 3.4443E-04 4.4446E-04	Time: 0.11s
Epoch [157/500]	 Average training and validation loss: 3.4396E-04 4.4446E-04	Time: 0.11s
Epoch [158/500]	 Average training and validation loss: 3.4348E-04 4.4445E-04	Time: 0.11s
Epoch [159/500]	 Average training and validation loss: 3.4301E-04 4.4446E-04	Time: 0.11s
Epoch [160/500]	 Average training and validation loss: 3.4254E-04 4.4444E-04	Time: 0.11s
Epoch [161/500]	 Average training and validation loss: 3.4207E-04 4.4442E-04	Time: 0.11s
Epoch [162/500]	 Average training and validation loss: 3.4161E-04 4.4443E-04	Time: 0.10s
Epoch [163/500]	 Average training and validation loss: 3.4113E-04 4.4443E-04	Time: 0.10s
Epoch [164/500]	 Average training and validation loss: 3.4067E-04 4.4441E-04	Time: 0.11s
Epoch [165/500]	 Average training and validation loss: 3.4020E-04 4.4440E-04	Time: 0.11s
Epoch [166/500]	 Average training and validation loss: 3.3975E-04 4.4440E-04	Time: 0.11s
Epoch [167/500]	 Average training and validation loss: 3.3928E-04 4.4437E-04	Time: 0.11s
Epoch [168/500]	 Average training and validation loss: 3.3882E-04 4.4438E-04	Time: 0.10s
Epoch [169/500]	 Average training and validation loss: 3.3836E-04 4.4437E-04	Time: 0.11s
Epoch [170/500]	 Average training and validation loss: 3.3790E-04 4.4436E-04	Time: 0.11s
Epoch [171/500]	 Average training and validation loss: 3.3745E-04 4.4436E-04	Time: 0.10s
Epoch [172/500]	 Average training and validation loss: 3.3700E-04 4.4436E-04	Time: 0.12s
Epoch [173/500]	 Average training and validation loss: 3.3654E-04 4.4435E-04	Time: 0.11s
Epoch [174/500]	 Average training and validation loss: 3.3609E-04 4.4436E-04	Time: 0.10s
Epoch [175/500]	 Average training and validation loss: 3.3564E-04 4.4437E-04	Time: 0.10s
Epoch [176/500]	 Average training and validation loss: 3.3518E-04 4.4436E-04	Time: 0.10s
Epoch [177/500]	 Average training and validation loss: 3.3474E-04 4.4439E-04	Time: 0.10s
Epoch [178/500]	 Average training and validation loss: 3.3429E-04 4.4441E-04	Time: 0.10s
Epoch [179/500]	 Average training and validation loss: 3.3384E-04 4.4442E-04	Time: 0.10s
Epoch [180/500]	 Average training and validation loss: 3.3340E-04 4.4444E-04	Time: 0.11s
Epoch [181/500]	 Average training and validation loss: 3.3295E-04 4.4447E-04	Time: 0.11s
Epoch [182/500]	 Average training and validation loss: 3.3251E-04 4.4450E-04	Time: 0.10s
Epoch [183/500]	 Average training and validation loss: 3.3207E-04 4.4450E-04	Time: 0.11s
Epoch [184/500]	 Average training and validation loss: 3.3162E-04 4.4452E-04	Time: 0.11s
Epoch [185/500]	 Average training and validation loss: 3.3118E-04 4.4454E-04	Time: 0.12s
Epoch [186/500]	 Average training and validation loss: 3.3075E-04 4.4456E-04	Time: 0.11s
Epoch [187/500]	 Average training and validation loss: 3.3031E-04 4.4459E-04	Time: 0.11s
Epoch [188/500]	 Average training and validation loss: 3.2988E-04 4.4464E-04	Time: 0.11s
Epoch [189/500]	 Average training and validation loss: 3.2945E-04 4.4466E-04	Time: 0.11s
Epoch [190/500]	 Average training and validation loss: 3.2902E-04 4.4470E-04	Time: 0.10s
Epoch [191/500]	 Average training and validation loss: 3.2859E-04 4.4475E-04	Time: 0.11s
Epoch [192/500]	 Average training and validation loss: 3.2817E-04 4.4478E-04	Time: 0.11s
Epoch [193/500]	 Average training and validation loss: 3.2775E-04 4.4480E-04	Time: 0.11s
Epoch [194/500]	 Average training and validation loss: 3.2732E-04 4.4484E-04	Time: 0.10s
Epoch [195/500]	 Average training and validation loss: 3.2690E-04 4.4489E-04	Time: 0.10s
Epoch [196/500]	 Average training and validation loss: 3.2648E-04 4.4489E-04	Time: 0.11s
Epoch [197/500]	 Average training and validation loss: 3.2606E-04 4.4494E-04	Time: 0.10s
Epoch [198/500]	 Average training and validation loss: 3.2565E-04 4.4495E-04	Time: 0.11s
Epoch [199/500]	 Average training and validation loss: 3.2523E-04 4.4499E-04	Time: 0.10s
Epoch [200/500]	 Average training and validation loss: 3.2481E-04 4.4504E-04	Time: 0.10s
Epoch [201/500]	 Average training and validation loss: 3.2440E-04 4.4505E-04	Time: 0.10s
Epoch [202/500]	 Average training and validation loss: 3.2399E-04 4.4509E-04	Time: 0.11s
Epoch [203/500]	 Average training and validation loss: 3.2358E-04 4.4511E-04	Time: 0.10s
Epoch [204/500]	 Average training and validation loss: 3.2318E-04 4.4515E-04	Time: 0.11s
Epoch [205/500]	 Average training and validation loss: 3.2276E-04 4.4523E-04	Time: 0.10s
Epoch [206/500]	 Average training and validation loss: 3.2236E-04 4.4520E-04	Time: 0.11s
Epoch [207/500]	 Average training and validation loss: 3.2196E-04 4.4527E-04	Time: 0.10s
Epoch [208/500]	 Average training and validation loss: 3.2155E-04 4.4532E-04	Time: 0.11s
Epoch [209/500]	 Average training and validation loss: 3.2116E-04 4.4535E-04	Time: 0.10s
Epoch [210/500]	 Average training and validation loss: 3.2075E-04 4.4539E-04	Time: 0.11s
Epoch [211/500]	 Average training and validation loss: 3.2035E-04 4.4544E-04	Time: 0.11s
Epoch [212/500]	 Average training and validation loss: 3.1995E-04 4.4546E-04	Time: 0.11s
Epoch [213/500]	 Average training and validation loss: 3.1955E-04 4.4552E-04	Time: 0.10s
Epoch [214/500]	 Average training and validation loss: 3.1915E-04 4.4554E-04	Time: 0.11s
Epoch [215/500]	 Average training and validation loss: 3.1876E-04 4.4558E-04	Time: 0.10s
Epoch [216/500]	 Average training and validation loss: 3.1836E-04 4.4562E-04	Time: 0.11s
Epoch [217/500]	 Average training and validation loss: 3.1797E-04 4.4567E-04	Time: 0.11s
Epoch [218/500]	 Average training and validation loss: 3.1757E-04 4.4572E-04	Time: 0.10s
Epoch [219/500]	 Average training and validation loss: 3.1718E-04 4.4577E-04	Time: 0.11s
Epoch [220/500]	 Average training and validation loss: 3.1679E-04 4.4580E-04	Time: 0.11s
Epoch [221/500]	 Average training and validation loss: 3.1640E-04 4.4585E-04	Time: 0.11s
Epoch [222/500]	 Average training and validation loss: 3.1601E-04 4.4590E-04	Time: 0.10s
Epoch [223/500]	 Average training and validation loss: 3.1562E-04 4.4593E-04	Time: 0.11s
Epoch [224/500]	 Average training and validation loss: 3.1523E-04 4.4601E-04	Time: 0.11s
Epoch [225/500]	 Average training and validation loss: 3.1485E-04 4.4603E-04	Time: 0.10s
Epoch [226/500]	 Average training and validation loss: 3.1446E-04 4.4606E-04	Time: 0.11s
Epoch [227/500]	 Average training and validation loss: 3.1406E-04 4.4613E-04	Time: 0.10s
Epoch [228/500]	 Average training and validation loss: 3.1369E-04 4.4618E-04	Time: 0.11s
